file	cell	text_lang	voice_lang	source	real_audio	duration	sim_ceiling	text	prompt
nene_000.wav	ne_text/ne_voice	ne	ne	ans_snr50	/workspace/proc_data_new/ans_snr50.part1of2/train/audio/automated_new_set/UCk3jZmW0NsK6zePXvLSGpkA/BvahbQeEm0E/chunk_098_9.10s.wav	9.1	False	रङ्गित स्टेज थ्री एनएचपिसीबाट यो फ्री बिजुली बाह्र पर्सेन्ट बिजुली लिन्छ। टिस्टा स्टेज फाइभ एनएचपिसीबाट नै बाह्र पर्सेन्ट बिजुली फ्रीमा सरकारले लिन्छ।	/workspace/proc_data_new/ans_snr40-50.part2of2/train/audio/automated_new_set/UC41lrNBYb9fNWnQHFyuv9wQ/y4TT8WtCWN8/chunk_018_3.86s.wav
nene_001.wav	ne_text/ne_voice	ne	ne	ans_snr50	/workspace/proc_data_new/ans_snr50.part1of2/train/audio/automated_new_set/UC41lrNBYb9fNWnQHFyuv9wQ/WL7qvps4mvQ/chunk_101_6.66s.wav	6.66	False	यो कस्तो रोचक विषय भने! हाम्रो आहारले, हाम्रा स्वभावले, हाम्रो जीवनशैलीले।	/workspace/proc_data_new/ans_snr50.part2of2/train/audio/automated_new_set/UClgqAXWBfF1p4sGKtcvs39Q/I0yIsxlE_-M/chunk_080_3.22s.wav
nene_002.wav	ne_text/ne_voice	ne	ne	mahadhwani	/workspace/proc_data_new/mahadhwani/train/audio/yt-md/RsQQ_04UFQY_b18d4c2a_chunk026_317912-327552ms_SPEAKER_02_9639ms.wav	9.639	True	त्यहाँ चाहिँ सन्यास शब्दको अर्थ चाहिँ मन पुरै परमात्मामा भएको भन्ने हुन्छ वानप्रस्थमा मन आधा आधा छ	/workspace/proc_data_new/mahadhwani/train/audio/yt-md/3jK9CebTuno_e2f7a527_chunk608_2698572-2702672ms_SPEAKER_02_4099ms.wav
nene_003.wav	ne_text/ne_voice	ne	ne	ans_snr40-50	/workspace/proc_data_new/ans_snr40-50.part2of2/train/audio/automated_new_set/UCczsYSRGukY9LA7Fd_govMw/GOz4Wzvh0jk/chunk_038_6.54s.wav	6.54	True	आज नेपाली विद्यार्थीहरूको मुद्दालाई सम्बोधन गर्न सकिन्छ कि सकिँदैन? त्यसलाई उजागर गरेर एक्सनमा जान सकिन्छ कि सकिँदैन?	/workspace/proc_data_new/ans_snr40-50.part2of2/train/audio/automated_new_set/UCczsYSRGukY9LA7Fd_govMw/GOz4Wzvh0jk/chunk_247_4.56s.wav
nene_004.wav	ne_text/ne_voice	ne	ne	ans_snr40-50	/workspace/proc_data_new/ans_snr40-50.part2of2/train/audio/automated_new_set/UC3yDoaqQzOd1bNP74ZrGPTA/2fEboY1Plgk/chunk_000_7.88s.wav	7.88	False	सांसदहरूका राजनैतिक स्वार्थ र दाउपेजका कारण प्रदेश दुईको स्थायी मुकाम र नामको विषय पेचिलो बन्दै गएको छ।	/workspace/proc_data_new/ans_snr40-50.part2of2/train/audio/automated_new_set/UC3yDoaqQzOd1bNP74ZrGPTA/_0XneXG3l3o/chunk_004_4.94s.wav
nene_005.wav	ne_text/ne_voice	ne	ne	indicvoices-r	/workspace/proc_data_new/indicvoices-r/train/audio/Nepali/mdx_extra/v3/train/audios/3940649673953600_chunk_4.wav	7.81	True	डेहलिया लिली जेर् जर्मेनियम रोज पप्पी बेगोनिया फुलहरू चाहिँ अब छ फुलेको छ	/workspace/proc_data_new/indicvoices-r/train/audio/Nepali/mdx_extra/v3/train/audios/3940649673953586_chunk_1.wav
nene_006.wav	ne_text/ne_voice	ne	ne	ans_snr40-50	/workspace/proc_data_new/ans_snr40-50.part1of2/train/audio/automated_new_set/UCXwo2HGpIaJGLKWVXqjBjmQ/tkITQlWHT3A/chunk_058_5.68s.wav	5.68	True	अहिले हवाई इन्धनको मूल्य एक सय पचासी रुपियाँ प्रति लिटरबाट एक सय नब्बे रुपियाँ पुगेको छ।	/workspace/proc_data_new/ans_snr40-50.part1of2/train/audio/automated_new_set/UCXwo2HGpIaJGLKWVXqjBjmQ/tkITQlWHT3A/chunk_047_4.20s.wav
nene_007.wav	ne_text/ne_voice	ne	ne	ans_snr50	/workspace/proc_data_new/ans_snr50.part2of2/train/audio/automated_new_set/UCaLEoN0-Mxgk3B45uYDSvkg/FrpnUOODpe4/chunk_570_9.20s.wav	9.2	True	अनि मुक्तकमा चाहिँ अलिक फरक छ। मुक्तकको वाचन चाहिँ कस्तो हुन्छ भने चार हरफमध्ये पहिलो हरफ र दोस्रो हरफ एकचोटि लगातार वाचन गरिन्छ।	/workspace/proc_data_new/ans_snr50.part2of2/train/audio/automated_new_set/UCaLEoN0-Mxgk3B45uYDSvkg/FrpnUOODpe4/chunk_093_4.84s.wav
nene_008.wav	ne_text/ne_voice	ne	ne	ans_snr40-50	/workspace/proc_data_new/ans_snr40-50.part1of2/train/audio/automated_new_set/UCDeNjdARlhMEO-EbfzD6I9Q/0kT8Hp9oSYI/chunk_124_4.76s.wav	4.76	False	भारतको सिमाना र नेपालको सिमाना भने अधिकांश नदीहरू उता छिर्ने।	/workspace/proc_data_new/ans_snr40-50.part2of2/train/audio/automated_new_set/UCVFNatZh-fkYj8AS1rLz4VQ/VHpPv_kI8EM/chunk_086_3.12s.wav
nene_009.wav	ne_text/ne_voice	ne	ne	indicvoices-r	/workspace/proc_data_new/indicvoices-r/train/audio/Nepali/mdx_extra/v1/train/audios/3940649673997823_chunk_16.wav	7.071	True	अन्त केही प्रब्लम भयो भने चाहिँ मलाई फोन गरिहाल्नुहोस् तपाईँले मेरो नम्बर अघिको नम्बर मैले जहाँ कल गरेको थिएँ नि त्यही नम्बरमा मलाई कल गर्नुहास् है	/workspace/proc_data_new/indicvoices-r/train/audio/Nepali/mdx_extra/v1/train/audios/3940649673997823_chunk_22.wav
